id,epochs,learning_rate,betas,epsilons
79,1,0.0001,0.01,0.16
80,1,0.0001,0.01,0.20841368677578814
81,1,0.0001,0.01,0.27147665522172704
82,1,0.0001,0.01,0.3536215661769979
83,1,0.0001,0.01,0.460622339564853
84,1,0.0001,0.01,0.6
85,1,0.0001,0.1,0.16
86,1,0.0001,0.1,0.20841368677578814
87,1,0.0001,0.1,0.27147665522172704
88,1,0.0001,0.1,0.3536215661769979
89,1,0.0001,0.1,0.460622339564853
90,1,0.0001,0.1,0.6
91,1,0.0001,1.0,0.16
92,1,0.0001,1.0,0.20841368677578814
93,1,0.0001,1.0,0.27147665522172704
94,1,0.0001,1.0,0.3536215661769979
95,1,0.0001,1.0,0.460622339564853
96,1,0.0001,1.0,0.6
97,2,1e-07,0.001,0.16
98,2,1e-07,0.001,0.20841368677578814
99,2,1e-07,0.001,0.27147665522172704
100,2,1e-07,0.001,0.3536215661769979
101,2,1e-07,0.001,0.460622339564853
102,2,1e-07,0.001,0.6
103,2,1e-07,0.01,0.16
104,2,1e-07,0.01,0.20841368677578814
105,2,1e-07,0.01,0.27147665522172704
106,2,1e-07,0.01,0.3536215661769979
107,2,1e-07,0.01,0.460622339564853
108,2,1e-07,0.01,0.6
109,2,1e-07,0.1,0.16
110,2,1e-07,0.1,0.20841368677578814
111,2,1e-07,0.1,0.27147665522172704
112,2,1e-07,0.1,0.3536215661769979
113,2,1e-07,0.1,0.460622339564853
114,2,1e-07,0.1,0.6
115,2,1e-07,1.0,0.16
116,2,1e-07,1.0,0.20841368677578814
117,2,1e-07,1.0,0.27147665522172704
118,2,1e-07,1.0,0.3536215661769979
119,2,1e-07,1.0,0.460622339564853
120,2,1e-07,1.0,0.6
121,2,1e-06,0.001,0.16
122,2,1e-06,0.001,0.20841368677578814
123,2,1e-06,0.001,0.27147665522172704
124,2,1e-06,0.001,0.3536215661769979
125,2,1e-06,0.001,0.460622339564853
126,2,1e-06,0.001,0.6
127,2,1e-06,0.01,0.16
128,2,1e-06,0.01,0.20841368677578814
129,2,1e-06,0.01,0.27147665522172704
130,2,1e-06,0.01,0.3536215661769979
131,2,1e-06,0.01,0.460622339564853
132,2,1e-06,0.01,0.6
133,2,1e-06,0.1,0.16
134,2,1e-06,0.1,0.20841368677578814
135,2,1e-06,0.1,0.27147665522172704
136,2,1e-06,0.1,0.3536215661769979
137,2,1e-06,0.1,0.460622339564853
138,2,1e-06,0.1,0.6
139,2,1e-06,1.0,0.16
140,2,1e-06,1.0,0.20841368677578814
141,2,1e-06,1.0,0.27147665522172704
142,2,1e-06,1.0,0.3536215661769979
143,2,1e-06,1.0,0.460622339564853
144,2,1e-06,1.0,0.6
145,2,1e-05,0.001,0.16
146,2,1e-05,0.001,0.20841368677578814
147,2,1e-05,0.001,0.27147665522172704
148,2,1e-05,0.001,0.3536215661769979
149,2,1e-05,0.001,0.460622339564853
150,2,1e-05,0.001,0.6
151,2,1e-05,0.01,0.16
152,2,1e-05,0.01,0.20841368677578814
153,2,1e-05,0.01,0.27147665522172704
154,2,1e-05,0.01,0.3536215661769979
155,2,1e-05,0.01,0.460622339564853
156,2,1e-05,0.01,0.6
157,2,1e-05,0.1,0.16
158,2,1e-05,0.1,0.20841368677578814
159,2,1e-05,0.1,0.27147665522172704
160,2,1e-05,0.1,0.3536215661769979
161,2,1e-05,0.1,0.460622339564853
162,2,1e-05,0.1,0.6
163,2,1e-05,1.0,0.16
164,2,1e-05,1.0,0.20841368677578814
165,2,1e-05,1.0,0.27147665522172704
166,2,1e-05,1.0,0.3536215661769979
167,2,1e-05,1.0,0.460622339564853
168,2,1e-05,1.0,0.6
169,2,0.0001,0.001,0.16
170,2,0.0001,0.001,0.20841368677578814
171,2,0.0001,0.001,0.27147665522172704
172,2,0.0001,0.001,0.3536215661769979
173,2,0.0001,0.001,0.460622339564853
174,2,0.0001,0.001,0.6
175,2,0.0001,0.01,0.16
176,2,0.0001,0.01,0.20841368677578814
177,2,0.0001,0.01,0.27147665522172704
178,2,0.0001,0.01,0.3536215661769979
179,2,0.0001,0.01,0.460622339564853
180,2,0.0001,0.01,0.6
181,2,0.0001,0.1,0.16
182,2,0.0001,0.1,0.20841368677578814
183,2,0.0001,0.1,0.27147665522172704
184,2,0.0001,0.1,0.3536215661769979
185,2,0.0001,0.1,0.460622339564853
186,2,0.0001,0.1,0.6
187,2,0.0001,1.0,0.16
188,2,0.0001,1.0,0.20841368677578814
189,2,0.0001,1.0,0.27147665522172704
190,2,0.0001,1.0,0.3536215661769979
191,2,0.0001,1.0,0.460622339564853
192,2,0.0001,1.0,0.6
193,4,1e-07,0.001,0.16
194,4,1e-07,0.001,0.20841368677578814
195,4,1e-07,0.001,0.27147665522172704
196,4,1e-07,0.001,0.3536215661769979
197,4,1e-07,0.001,0.460622339564853
198,4,1e-07,0.001,0.6
199,4,1e-07,0.01,0.16
200,4,1e-07,0.01,0.20841368677578814
201,4,1e-07,0.01,0.27147665522172704
202,4,1e-07,0.01,0.3536215661769979
203,4,1e-07,0.01,0.460622339564853
204,4,1e-07,0.01,0.6
205,4,1e-07,0.1,0.16
206,4,1e-07,0.1,0.20841368677578814
207,4,1e-07,0.1,0.27147665522172704
208,4,1e-07,0.1,0.3536215661769979
209,4,1e-07,0.1,0.460622339564853
210,4,1e-07,0.1,0.6
211,4,1e-07,1.0,0.16
212,4,1e-07,1.0,0.20841368677578814
213,4,1e-07,1.0,0.27147665522172704
214,4,1e-07,1.0,0.3536215661769979
215,4,1e-07,1.0,0.460622339564853
216,4,1e-07,1.0,0.6
217,4,1e-06,0.001,0.16
218,4,1e-06,0.001,0.20841368677578814
219,4,1e-06,0.001,0.27147665522172704
220,4,1e-06,0.001,0.3536215661769979
221,4,1e-06,0.001,0.460622339564853
222,4,1e-06,0.001,0.6
223,4,1e-06,0.01,0.16
224,4,1e-06,0.01,0.20841368677578814
225,4,1e-06,0.01,0.27147665522172704
226,4,1e-06,0.01,0.3536215661769979
227,4,1e-06,0.01,0.460622339564853
228,4,1e-06,0.01,0.6
229,4,1e-06,0.1,0.16
230,4,1e-06,0.1,0.20841368677578814
231,4,1e-06,0.1,0.27147665522172704
232,4,1e-06,0.1,0.3536215661769979
233,4,1e-06,0.1,0.460622339564853
234,4,1e-06,0.1,0.6
235,4,1e-06,1.0,0.16
236,4,1e-06,1.0,0.20841368677578814
237,4,1e-06,1.0,0.27147665522172704
238,4,1e-06,1.0,0.3536215661769979
239,4,1e-06,1.0,0.460622339564853
240,4,1e-06,1.0,0.6
241,4,1e-05,0.001,0.16
242,4,1e-05,0.001,0.20841368677578814
243,4,1e-05,0.001,0.27147665522172704
244,4,1e-05,0.001,0.3536215661769979
245,4,1e-05,0.001,0.460622339564853
246,4,1e-05,0.001,0.6
247,4,1e-05,0.01,0.16
248,4,1e-05,0.01,0.20841368677578814
249,4,1e-05,0.01,0.27147665522172704
250,4,1e-05,0.01,0.3536215661769979
251,4,1e-05,0.01,0.460622339564853
252,4,1e-05,0.01,0.6
253,4,1e-05,0.1,0.16
254,4,1e-05,0.1,0.20841368677578814
255,4,1e-05,0.1,0.27147665522172704
256,4,1e-05,0.1,0.3536215661769979
257,4,1e-05,0.1,0.460622339564853
258,4,1e-05,0.1,0.6
259,4,1e-05,1.0,0.16
260,4,1e-05,1.0,0.20841368677578814
261,4,1e-05,1.0,0.27147665522172704
262,4,1e-05,1.0,0.3536215661769979
263,4,1e-05,1.0,0.460622339564853
264,4,1e-05,1.0,0.6
265,4,0.0001,0.001,0.16
266,4,0.0001,0.001,0.20841368677578814
267,4,0.0001,0.001,0.27147665522172704
268,4,0.0001,0.001,0.3536215661769979
269,4,0.0001,0.001,0.460622339564853
270,4,0.0001,0.001,0.6
271,4,0.0001,0.01,0.16
272,4,0.0001,0.01,0.20841368677578814
273,4,0.0001,0.01,0.27147665522172704
274,4,0.0001,0.01,0.3536215661769979
275,4,0.0001,0.01,0.460622339564853
276,4,0.0001,0.01,0.6
277,4,0.0001,0.1,0.16
278,4,0.0001,0.1,0.20841368677578814
279,4,0.0001,0.1,0.27147665522172704
280,4,0.0001,0.1,0.3536215661769979
281,4,0.0001,0.1,0.460622339564853
282,4,0.0001,0.1,0.6
283,4,0.0001,1.0,0.16
284,4,0.0001,1.0,0.20841368677578814
285,4,0.0001,1.0,0.27147665522172704
286,4,0.0001,1.0,0.3536215661769979
287,4,0.0001,1.0,0.460622339564853
288,4,0.0001,1.0,0.6
289,5,1e-07,0.001,0.16
290,5,1e-07,0.001,0.20841368677578814
291,5,1e-07,0.001,0.27147665522172704
292,5,1e-07,0.001,0.3536215661769979
293,5,1e-07,0.001,0.460622339564853
294,5,1e-07,0.001,0.6
295,5,1e-07,0.01,0.16
296,5,1e-07,0.01,0.20841368677578814
297,5,1e-07,0.01,0.27147665522172704
298,5,1e-07,0.01,0.3536215661769979
299,5,1e-07,0.01,0.460622339564853
300,5,1e-07,0.01,0.6
301,5,1e-07,0.1,0.16
302,5,1e-07,0.1,0.20841368677578814
303,5,1e-07,0.1,0.27147665522172704
304,5,1e-07,0.1,0.3536215661769979
305,5,1e-07,0.1,0.460622339564853
306,5,1e-07,0.1,0.6
307,5,1e-07,1.0,0.16
308,5,1e-07,1.0,0.20841368677578814
309,5,1e-07,1.0,0.27147665522172704
310,5,1e-07,1.0,0.3536215661769979
311,5,1e-07,1.0,0.460622339564853
312,5,1e-07,1.0,0.6
313,5,1e-06,0.001,0.16
314,5,1e-06,0.001,0.20841368677578814
315,5,1e-06,0.001,0.27147665522172704
316,5,1e-06,0.001,0.3536215661769979
317,5,1e-06,0.001,0.460622339564853
318,5,1e-06,0.001,0.6
319,5,1e-06,0.01,0.16
320,5,1e-06,0.01,0.20841368677578814
321,5,1e-06,0.01,0.27147665522172704
322,5,1e-06,0.01,0.3536215661769979
323,5,1e-06,0.01,0.460622339564853
324,5,1e-06,0.01,0.6
325,5,1e-06,0.1,0.16
326,5,1e-06,0.1,0.20841368677578814
327,5,1e-06,0.1,0.27147665522172704
328,5,1e-06,0.1,0.3536215661769979
329,5,1e-06,0.1,0.460622339564853
330,5,1e-06,0.1,0.6
331,5,1e-06,1.0,0.16
332,5,1e-06,1.0,0.20841368677578814
333,5,1e-06,1.0,0.27147665522172704
334,5,1e-06,1.0,0.3536215661769979
335,5,1e-06,1.0,0.460622339564853
336,5,1e-06,1.0,0.6
337,5,1e-05,0.001,0.16
338,5,1e-05,0.001,0.20841368677578814
339,5,1e-05,0.001,0.27147665522172704
340,5,1e-05,0.001,0.3536215661769979
341,5,1e-05,0.001,0.460622339564853
342,5,1e-05,0.001,0.6
343,5,1e-05,0.01,0.16
344,5,1e-05,0.01,0.20841368677578814
345,5,1e-05,0.01,0.27147665522172704
346,5,1e-05,0.01,0.3536215661769979
347,5,1e-05,0.01,0.460622339564853
348,5,1e-05,0.01,0.6
349,5,1e-05,0.1,0.16
350,5,1e-05,0.1,0.20841368677578814
351,5,1e-05,0.1,0.27147665522172704
352,5,1e-05,0.1,0.3536215661769979
353,5,1e-05,0.1,0.460622339564853
354,5,1e-05,0.1,0.6
355,5,1e-05,1.0,0.16
356,5,1e-05,1.0,0.20841368677578814
357,5,1e-05,1.0,0.27147665522172704
358,5,1e-05,1.0,0.3536215661769979
359,5,1e-05,1.0,0.460622339564853
360,5,1e-05,1.0,0.6
361,5,0.0001,0.001,0.16
362,5,0.0001,0.001,0.20841368677578814
363,5,0.0001,0.001,0.27147665522172704
364,5,0.0001,0.001,0.3536215661769979
365,5,0.0001,0.001,0.460622339564853
366,5,0.0001,0.001,0.6
367,5,0.0001,0.01,0.16
368,5,0.0001,0.01,0.20841368677578814
369,5,0.0001,0.01,0.27147665522172704
370,5,0.0001,0.01,0.3536215661769979
371,5,0.0001,0.01,0.460622339564853
372,5,0.0001,0.01,0.6
373,5,0.0001,0.1,0.16
374,5,0.0001,0.1,0.20841368677578814
375,5,0.0001,0.1,0.27147665522172704
376,5,0.0001,0.1,0.3536215661769979
377,5,0.0001,0.1,0.460622339564853
378,5,0.0001,0.1,0.6
379,5,0.0001,1.0,0.16
380,5,0.0001,1.0,0.20841368677578814
381,5,0.0001,1.0,0.27147665522172704
382,5,0.0001,1.0,0.3536215661769979
383,5,0.0001,1.0,0.460622339564853
384,5,0.0001,1.0,0.6
